"to","from","points"
"FRA","ALB",4
"ITA","ALB",0
"BGR","ALB",7
"AUS","ALB",10
"PRT","ALB",0
"SWE","ALB",12
"BEL","ALB",0
"ISR","ALB",6
"GBR","ALB",2
"GRC","ALB",8
"DEU","ALB",3
"AZE","ALB",0
"ALB","ALB",0
"HRV","ALB",5
"UKR","ALB",0
"FIN","ALB",0
"ESP","ALB",0
"ARM","ALB",0
"CYP","ALB",0
"IRL","ALB",0
"NLD","ALB",0
"AUT","ALB",0
"DNK","ALB",0
"HUN","ALB",0
"CHE","ALB",0
"SRB","ALB",0
"FRA","ARM",12
"ITA","ARM",6
"BGR","ARM",5
"AUS","ARM",2
"PRT","ARM",0
"SWE","ARM",8
"BEL","ARM",0
"ISR","ARM",1
"GBR","ARM",0
"GRC","ARM",0
"DEU","ARM",4
"AZE","ARM",7
"ALB","ARM",3
"HRV","ARM",0
"UKR","ARM",0
"FIN","ARM",0
"ESP","ARM",0
"ARM","ARM",0
"CYP","ARM",10
"IRL","ARM",0
"NLD","ARM",0
"AUT","ARM",0
"DNK","ARM",0
"HUN","ARM",0
"CHE","ARM",0
"SRB","ARM",0
"FRA","AUS",0
"ITA","AUS",3
"BGR","AUS",0
"AUS","AUS",0
"PRT","AUS",7
"SWE","AUS",4
"BEL","AUS",5
"ISR","AUS",0
"GBR","AUS",8
"GRC","AUS",10
"DEU","AUS",1
"AZE","AUS",0
"ALB","AUS",0
"HRV","AUS",0
"UKR","AUS",0
"FIN","AUS",0
"ESP","AUS",0
"ARM","AUS",6
"CYP","AUS",0
"IRL","AUS",0
"NLD","AUS",0
"AUT","AUS",2
"DNK","AUS",12
"HUN","AUS",0
"CHE","AUS",0
"SRB","AUS",0
"FRA","AZE",12
"ITA","AZE",5
"BGR","AZE",7
"AUS","AZE",8
"PRT","AZE",1
"SWE","AZE",6
"BEL","AZE",0
"ISR","AZE",0
"GBR","AZE",0
"GRC","AZE",2
"DEU","AZE",0
"AZE","AZE",0
"ALB","AZE",0
"HRV","AZE",0
"UKR","AZE",0
"FIN","AZE",0
"ESP","AZE",4
"ARM","AZE",10
"CYP","AZE",0
"IRL","AZE",0
"NLD","AZE",0
"AUT","AZE",0
"DNK","AZE",3
"HUN","AZE",0
"CHE","AZE",0
"SRB","AZE",0
"FRA","BEL",12
"ITA","BEL",10
"BGR","BEL",5
"AUS","BEL",4
"PRT","BEL",6
"SWE","BEL",7
"BEL","BEL",0
"ISR","BEL",3
"GBR","BEL",1
"GRC","BEL",0
"DEU","BEL",2
"AZE","BEL",0
"ALB","BEL",0
"HRV","BEL",0
"UKR","BEL",0
"FIN","BEL",0
"ESP","BEL",0
"ARM","BEL",0
"CYP","BEL",0
"IRL","BEL",0
"NLD","BEL",8
"AUT","BEL",0
"DNK","BEL",0
"HUN","BEL",0
"CHE","BEL",0
"SRB","BEL",0
"FRA","CYP",10
"ITA","CYP",8
"BGR","CYP",2
"AUS","CYP",7
"PRT","CYP",3
"SWE","CYP",4
"BEL","CYP",5
"ISR","CYP",6
"GBR","CYP",0
"GRC","CYP",12
"DEU","CYP",0
"AZE","CYP",0
"ALB","CYP",0
"HRV","CYP",0
"UKR","CYP",0
"FIN","CYP",0
"ESP","CYP",0
"ARM","CYP",0
"CYP","CYP",0
"IRL","CYP",0
"NLD","CYP",1
"AUT","CYP",0
"DNK","CYP",0
"HUN","CYP",0
"CHE","CYP",0
"SRB","CYP",0
"FRA","CZE",0
"ITA","CZE",3
"BGR","CZE",6
"AUS","CZE",12
"PRT","CZE",7
"SWE","CZE",2
"BEL","CZE",10
"ISR","CZE",0
"GBR","CZE",5
"GRC","CZE",0
"DEU","CZE",0
"AZE","CZE",0
"ALB","CZE",0
"HRV","CZE",0
"UKR","CZE",8
"FIN","CZE",0
"ESP","CZE",0
"ARM","CZE",0
"CYP","CZE",0
"IRL","CZE",0
"NLD","CZE",1
"AUT","CZE",0
"DNK","CZE",0
"HUN","CZE",4
"CHE","CZE",0
"SRB","CZE",0
"FRA","FIN",7
"ITA","FIN",4
"BGR","FIN",5
"AUS","FIN",10
"PRT","FIN",12
"SWE","FIN",8
"BEL","FIN",6
"ISR","FIN",2
"GBR","FIN",0
"GRC","FIN",0
"DEU","FIN",0
"AZE","FIN",1
"ALB","FIN",0
"HRV","FIN",0
"UKR","FIN",0
"FIN","FIN",0
"ESP","FIN",0
"ARM","FIN",0
"CYP","FIN",0
"IRL","FIN",3
"NLD","FIN",0
"AUT","FIN",0
"DNK","FIN",0
"HUN","FIN",0
"CHE","FIN",0
"SRB","FIN",0
"FRA","GEO",0
"ITA","GEO",0
"BGR","GEO",7
"AUS","GEO",0
"PRT","GEO",0
"SWE","GEO",8
"BEL","GEO",0
"ISR","GEO",0
"GBR","GEO",6
"GRC","GEO",5
"DEU","GEO",0
"AZE","GEO",12
"ALB","GEO",0
"HRV","GEO",0
"UKR","GEO",4
"FIN","GEO",0
"ESP","GEO",0
"ARM","GEO",10
"CYP","GEO",0
"IRL","GEO",0
"NLD","GEO",0
"AUT","GEO",0
"DNK","GEO",0
"HUN","GEO",0
"CHE","GEO",0
"SRB","GEO",0
"FRA","GRC",4
"ITA","GRC",8
"BGR","GRC",12
"AUS","GRC",6
"PRT","GRC",7
"SWE","GRC",2
"BEL","GRC",1
"ISR","GRC",0
"GBR","GRC",0
"GRC","GRC",0
"DEU","GRC",0
"AZE","GRC",0
"ALB","GRC",3
"HRV","GRC",0
"UKR","GRC",0
"FIN","GRC",0
"ESP","GRC",0
"ARM","GRC",0
"CYP","GRC",10
"IRL","GRC",0
"NLD","GRC",5
"AUT","GRC",0
"DNK","GRC",0
"HUN","GRC",0
"CHE","GRC",0
"SRB","GRC",0
"FRA","ISL",0
"ITA","ISL",0
"BGR","ISL",10
"AUS","ISL",12
"PRT","ISL",5
"SWE","ISL",8
"BEL","ISL",3
"ISR","ISL",7
"GBR","ISL",6
"GRC","ISL",0
"DEU","ISL",0
"AZE","ISL",0
"ALB","ISL",0
"HRV","ISL",0
"UKR","ISL",0
"FIN","ISL",0
"ESP","ISL",0
"ARM","ISL",0
"CYP","ISL",0
"IRL","ISL",2
"NLD","ISL",4
"AUT","ISL",0
"DNK","ISL",0
"HUN","ISL",1
"CHE","ISL",0
"SRB","ISL",0
"FRA","LVA",0
"ITA","LVA",8
"BGR","LVA",10
"AUS","LVA",5
"PRT","LVA",12
"SWE","LVA",4
"BEL","LVA",2
"ISR","LVA",0
"GBR","LVA",3
"GRC","LVA",1
"DEU","LVA",0
"AZE","LVA",0
"ALB","LVA",0
"HRV","LVA",0
"UKR","LVA",0
"FIN","LVA",6
"ESP","LVA",7
"ARM","LVA",0
"CYP","LVA",0
"IRL","LVA",0
"NLD","LVA",0
"AUT","LVA",0
"DNK","LVA",0
"HUN","LVA",0
"CHE","LVA",0
"SRB","LVA",0
"FRA","MDA",12
"ITA","MDA",4
"BGR","MDA",5
"AUS","MDA",0
