"to","from","points"
"PRT","MDA",6
"SWE","MDA",7
"BEL","MDA",10
"ISR","MDA",0
"GBR","MDA",0
"GRC","MDA",0
"DEU","MDA",0
"AZE","MDA",0
"ALB","MDA",0
"HRV","MDA",0
"UKR","MDA",8
"FIN","MDA",0
"ESP","MDA",0
"ARM","MDA",0
"CYP","MDA",0
"IRL","MDA",0
"NLD","MDA",0
"AUT","MDA",0
"DNK","MDA",2
"HUN","MDA",3
"CHE","MDA",0
"SRB","MDA",0
"FRA","MNE",0
"ITA","MNE",0
"BGR","MNE",0
"AUS","MNE",0
"PRT","MNE",12
"SWE","MNE",0
"BEL","MNE",0
"ISR","MNE",0
"GBR","MNE",0
"GRC","MNE",0
"DEU","MNE",0
"AZE","MNE",0
"ALB","MNE",10
"HRV","MNE",0
"UKR","MNE",0
"FIN","MNE",0
"ESP","MNE",0
"ARM","MNE",8
"CYP","MNE",0
"IRL","MNE",0
"NLD","MNE",0
"AUT","MNE",0
"DNK","MNE",0
"HUN","MNE",0
"CHE","MNE",0
"SRB","MNE",0
"FRA","POL",8
"ITA","POL",2
"BGR","POL",4
"AUS","POL",5
"PRT","POL",3
"SWE","POL",10
"BEL","POL",12
"ISR","POL",0
"GBR","POL",0
"GRC","POL",0
"DEU","POL",0
"AZE","POL",0
"ALB","POL",0
"HRV","POL",0
"UKR","POL",7
"FIN","POL",1
"ESP","POL",0
"ARM","POL",0
"CYP","POL",0
"IRL","POL",6
"NLD","POL",0
"AUT","POL",0
"DNK","POL",0
"HUN","POL",0
"CHE","POL",0
"SRB","POL",0
"FRA","PRT",10
"ITA","PRT",8
"BGR","PRT",2
"AUS","PRT",3
"PRT","PRT",0
"SWE","PRT",5
"BEL","PRT",6
"ISR","PRT",0
"GBR","PRT",0
"GRC","PRT",0
"DEU","PRT",1
"AZE","PRT",0
"ALB","PRT",0
"HRV","PRT",0
"UKR","PRT",0
"FIN","PRT",7
"ESP","PRT",12
"ARM","PRT",0
"CYP","PRT",0
"IRL","PRT",4
"NLD","PRT",0
"AUT","PRT",0
"DNK","PRT",0
"HUN","PRT",0
"CHE","PRT",0
"SRB","PRT",0
"FRA","SVN",8
"ITA","SVN",12
"BGR","SVN",5
"AUS","SVN",0
"PRT","SVN",0
"SWE","SVN",0
"BEL","SVN",6
"ISR","SVN",4
"GBR","SVN",0
"GRC","SVN",0
"DEU","SVN",0
"AZE","SVN",0
"ALB","SVN",3
"HRV","SVN",10
"UKR","SVN",0
"FIN","SVN",7
"ESP","SVN",0
"ARM","SVN",0
"CYP","SVN",0
"IRL","SVN",0
"NLD","SVN",1
"AUT","SVN",2
"DNK","SVN",0
"HUN","SVN",0
"CHE","SVN",0
"SRB","SVN",0
"FRA","SWE",8
"ITA","SWE",7
"BGR","SWE",6
"AUS","SWE",12
"PRT","SWE",5
"SWE","SWE",0
"BEL","SWE",10
"ISR","SWE",3
"GBR","SWE",1
"GRC","SWE",0
"DEU","SWE",2
"AZE","SWE",0
"ALB","SWE",0
"HRV","SWE",0
"UKR","SWE",0
"FIN","SWE",4
"ESP","SWE",0
"ARM","SWE",0
"CYP","SWE",0
"IRL","SWE",0
"NLD","SWE",0
"AUT","SWE",0
"DNK","SWE",0
"HUN","SWE",0
"CHE","SWE",0
"SRB","SWE",0
"FRA","AUT",1
"ITA","AUT",8
"BGR","AUT",10
"AUS","AUT",7
"PRT","AUT",6
"SWE","AUT",0
"BEL","AUT",3
"ISR","AUT",0
"GBR","AUT",0
"GRC","AUT",0
"DEU","AUT",12
"AZE","AUT",0
"ALB","AUT",0
"HRV","AUT",2
"UKR","AUT",0
"FIN","AUT",0
"ESP","AUT",0
"ARM","AUT",0
"CYP","AUT",0
"IRL","AUT",0
"NLD","AUT",5
"AUT","AUT",0
"DNK","AUT",0
"HUN","AUT",4
"CHE","AUT",0
"SRB","AUT",0
"FRA","BLR",0
"ITA","BLR",4
"BGR","BLR",7
"AUS","BLR",1
"PRT","BLR",3
"SWE","BLR",12
"BEL","BLR",6
"ISR","BLR",0
"GBR","BLR",0
"GRC","BLR",0
"DEU","BLR",0
"AZE","BLR",8
"ALB","BLR",2
"HRV","BLR",0
"UKR","BLR",10
"FIN","BLR",5
"ESP","BLR",0
"ARM","BLR",0
"CYP","BLR",0
"IRL","BLR",0
"NLD","BLR",0
"AUT","BLR",0
"DNK","BLR",0
"HUN","BLR",0
"CHE","BLR",0
"SRB","BLR",0
"FRA","BGR",12
"ITA","BGR",10
"BGR","BGR",0
"AUS","BGR",0
"PRT","BGR",4
"SWE","BGR",7
"BEL","BGR",5
"ISR","BGR",8
"GBR","BGR",1
"GRC","BGR",0
"DEU","BGR",0
"AZE","BGR",6
"ALB","BGR",0
"HRV","BGR",0
"UKR","BGR",0
"FIN","BGR",0
"ESP","BGR",0
"ARM","BGR",0
"CYP","BGR",0
"IRL","BGR",3
"NLD","BGR",0
"AUT","BGR",2
"DNK","BGR",0
"HUN","BGR",0
"CHE","BGR",0
"SRB","BGR",0
"FRA","HRV",7
"ITA","HRV",12
"BGR","HRV",8
"AUS","HRV",1
"PRT","HRV",6
"SWE","HRV",10
"BEL","HRV",3
"ISR","HRV",5
"GBR","HRV",0
"GRC","HRV",0
"DEU","HRV",0
"AZE","HRV",4
"ALB","HRV",0
"HRV","HRV",0
"UKR","HRV",0
"FIN","HRV",0
"ESP","HRV",0
"ARM","HRV",0
"CYP","HRV",0
"IRL","HRV",0
"NLD","HRV",0
"AUT","HRV",0
"DNK","HRV",0
"HUN","HRV",0
"CHE","HRV",2
"SRB","HRV",0
"FRA","DNK",0
"ITA","DNK",0
"BGR","DNK",7
"AUS","DNK",10
"PRT","DNK",12
"SWE","DNK",8
"BEL","DNK",0
"ISR","DNK",0
"GBR","DNK",6
"GRC","DNK",0
"DEU","DNK",1
"AZE","DNK",4
"ALB","DNK",2
"HRV","DNK",5
"UKR","DNK",0
"FIN","DNK",3
"ESP","DNK",0
"ARM","DNK",0
"CYP","DNK",0
"IRL","DNK",0
"NLD","DNK",0
"AUT","DNK",0
"DNK","DNK",0
"HUN","DNK",0
"CHE","DNK",0
"SRB","DNK",0
"FRA","EST",4
"ITA","EST",5
"BGR","EST",3
"AUS","EST",8
"PRT","EST",12
"SWE","EST",10
"BEL","EST",4
"ISR","EST",0
"GBR","EST",6
"GRC","EST",0
"DEU","EST",0
"AZE","EST",2
"ALB","EST",0
"HRV","EST",0
"UKR","EST",0
"FIN","EST",0
"ESP","EST",0
"ARM","EST",0
"CYP","EST",0
"IRL","EST",0
"NLD","EST",0
"AUT","EST",0
"DNK","EST",7
"HUN","EST",1
"CHE","EST",0
"SRB","EST",0
"FRA","MKD",3
"ITA","MKD",4
"BGR","MKD",2
"AUS","MKD",10
"PRT","MKD",0
"SWE","MKD",5
"BEL","MKD",0
"ISR","MKD",0
"GBR","MKD",0
"GRC","MKD",6
"DEU","MKD",12
"AZE","MKD",1
"ALB","MKD",8
"HRV","MKD",0
"UKR","MKD",0
"FIN","MKD",0
"ESP","MKD",0
"ARM","MKD",0
"CYP","MKD",7
"IRL","MKD",0
"NLD","MKD",0
"AUT","MKD",0
"DNK","MKD",0
"HUN","MKD",0
"CHE","MKD",0
"SRB","MKD",0
"FRA","HUN",12
"ITA","HUN",1
"BGR","HUN",5
"AUS","HUN",8
"PRT","HUN",10
"SWE","HUN",7
"BEL","HUN",4
"ISR","HUN",0
"GBR","HUN",0
"GRC","HUN",6
"DEU","HUN",3
"AZE","HUN",0
"ALB","HUN",0
"HRV","HUN",0
"UKR","HUN",0
"FIN","HUN",0
"ESP","HUN",0
"ARM","HUN",0
"CYP","HUN",2
"IRL","HUN",0
"NLD","HUN",0
"AUT","HUN",0
"DNK","HUN",0
"HUN","HUN",0
"CHE","HUN",0
"SRB","HUN",0
"FRA","IRL",8
"ITA","IRL",10
"BGR","IRL",6
"AUS","IRL",5
"PRT","IRL",7
"SWE","IRL",0
"BEL","IRL",0
"ISR","IRL",0
"GBR","IRL",12
"GRC","IRL",0
"DEU","IRL",4
"AZE","IRL",1
"ALB","IRL",0
"HRV","IRL",0
"UKR","IRL",0
"FIN","IRL",0
"ESP","IRL",0
"ARM","IRL",0
"CYP","IRL",3
"IRL","IRL",0
"NLD","IRL",2
"AUT","IRL",0
"DNK","IRL",0
"HUN","IRL",0
"CHE","IRL",0
"SRB","IRL",0
"FRA","ISR",12
"ITA","ISR",6
"BGR","ISR",8
"AUS","ISR",7
"PRT","ISR",0
"SWE","ISR",0
"BEL","ISR",10
"ISR","ISR",0
"GBR","ISR",0
"GRC","ISR",0
"DEU","ISR",2
"AZE","ISR",1
"ALB","ISR",0
"HRV","ISR",0
"UKR","ISR",4
"FIN","ISR",0
"ESP","ISR",0
"ARM","ISR",0
"CYP","ISR",0
"IRL","ISR",3
"NLD","ISR",0
"AUT","ISR",5
"DNK","ISR",0
"HUN","ISR",0
"CHE","ISR",0
"SRB","ISR",0
"FRA","LTU",5
"ITA","LTU",10
"BGR","LTU",7
"AUS","LTU",8
"PRT","LTU",3
"SWE","LTU",4
"BEL","LTU",12
"ISR","LTU",2
"GBR","LTU",0
"GRC","LTU",0
"DEU","LTU",0
"AZE","LTU",6
"ALB","LTU",0
"HRV","LTU",0
"UKR","LTU",0
"FIN","LTU",0
"ESP","LTU",0
"ARM","LTU",0
"CYP","LTU",0
"IRL","LTU",0
"NLD","LTU",0
"AUT","LTU",1
"DNK","LTU",0
"HUN","LTU",0
"CHE","LTU",0
"SRB","LTU",0
"FRA","MLT",1
"ITA","MLT",12
"BGR","MLT",10
"AUS","MLT",8
"PRT","MLT",0
"SWE","MLT",7
"BEL","MLT",6
"ISR","MLT",5
"GBR","MLT",3
"GRC","MLT",0
"DEU","MLT",0
"AZE","MLT",0
"ALB","MLT",0
"HRV","MLT",0
"UKR","MLT",0
"FIN","MLT",0
"ESP","MLT",4
"ARM","MLT",0
"CYP","MLT",0
"IRL","MLT",0
"NLD","MLT",2
"AUT","MLT",0
"DNK","MLT",0
"HUN","MLT",0
"CHE","MLT",0
"SRB","MLT",0
"FRA","NLD",5
"ITA","NLD",8
"BGR","NLD",7
"AUS","NLD",10
"PRT","NLD",1
"SWE","NLD",4
"BEL","NLD",12
"ISR","NLD",2
"GBR","NLD",6
"GRC","NLD",0
"DEU","NLD",3
"AZE","NLD",0
"ALB","NLD",0
"HRV","NLD",0
"UKR","NLD",0
"FIN","NLD",0
"ESP","NLD",0
"ARM","NLD",0
"CYP","NLD",0
"IRL","NLD",0
"NLD","NLD",0
"AUT","NLD",0
"DNK","NLD",0
"HUN","NLD",0
"CHE","NLD",0
"SRB","NLD",0
"FRA","NOR",3
"ITA","NOR",6
"BGR","NOR",8
"AUS","NOR",12
"PRT","NOR",10
"SWE","NOR",4
"BEL","NOR",7
"ISR","NOR",2
"GBR","NOR",0
"GRC","NOR",0
"DEU","NOR",0
"AZE","NOR",0
"ALB","NOR",0
"HRV","NOR",0
"UKR","NOR",0
"FIN","NOR",0
"ESP","NOR",0
"ARM","NOR",0
"CYP","NOR",0
"IRL","NOR",1
"NLD","NOR",0
"AUT","NOR",5
"DNK","NOR",0
"HUN","NOR",0
"CHE","NOR",0
"SRB","NOR",0
"FRA","ROU",10
"ITA","ROU",4
"BGR","ROU",12
"AUS","ROU",8
"PRT","ROU",5
"SWE","ROU",2
"BEL","ROU",7
"ISR","ROU",6
"GBR","ROU",0
"GRC","ROU",0
"DEU","ROU",0
"AZE","ROU",0
"ALB","ROU",0
"HRV","ROU",0
"UKR","ROU",0
"FIN","ROU",0
"ESP","ROU",0
"ARM","ROU",0
"CYP","ROU",0
"IRL","ROU",1
"NLD","ROU",0
"AUT","ROU",0
"DNK","ROU",0
"HUN","ROU",3
"CHE","ROU",0
"SRB","ROU",0
"FRA","SMR",12
"ITA","SMR",0
"BGR","SMR",0
"AUS","SMR",0
"PRT","SMR",0
"SWE","SMR",0
"BEL","SMR",0
"ISR","SMR",0
"GBR","SMR",0
"GRC","SMR",0
"DEU","SMR",0
"AZE","SMR",0
"ALB","SMR",0
"HRV","SMR",0
"UKR","SMR",0
"FIN","SMR",0
"ESP","SMR",0
"ARM","SMR",0
"CYP","SMR",0
"IRL","SMR",0
"NLD","SMR",0
"AUT","SMR",0
"DNK","SMR",0
"HUN","SMR",0
"CHE","SMR",0
"SRB","SMR",0
"FRA","SRB",4
"ITA","SRB",12
"BGR","SRB",8
"AUS","SRB",0
"PRT","SRB",7
"SWE","SRB",6
"BEL","SRB",3
"ISR","SRB",2
"GBR","SRB",0
"GRC","SRB",0
"DEU","SRB",0
"AZE","SRB",0
"ALB","SRB",5
"HRV","SRB",10
"UKR","SRB",0
"FIN","SRB",0
"ESP","SRB",0
"ARM","SRB",0
"CYP","SRB",0
"IRL","SRB",0
"NLD","SRB",0
"AUT","SRB",0
"DNK","SRB",0
"HUN","SRB",1
"CHE","SRB",0
"SRB","SRB",0
"FRA","CHE",12
"ITA","CHE",10
"BGR","CHE",5
"AUS","CHE",2
"PRT","CHE",4
"SWE","CHE",0
"BEL","CHE",7
"ISR","CHE",0
"GBR","CHE",0
"GRC","CHE",0
"DEU","CHE",8
"AZE","CHE",0
"ALB","CHE",0
"HRV","CHE",6
"UKR","CHE",0
"FIN","CHE",0
"ESP","CHE",3
"ARM","CHE",0
"CYP","CHE",0
"IRL","CHE",0
"NLD","CHE",1
"AUT","CHE",0
"DNK","CHE",0
"HUN","CHE",0
"CHE","CHE",0
"SRB","CHE",0
"FRA","FRA",0
"ITA","FRA",10
"BGR","FRA",7
"AUS","FRA",0
"PRT","FRA",8
"SWE","FRA",3
"BEL","FRA",12
"ISR","FRA",5
"GBR","FRA",6
"GRC","FRA",0
"DEU","FRA",0
"AZE","FRA",1
"ALB","FRA",0
"HRV","FRA",0
"UKR","FRA",0
"FIN","FRA",0
"ESP","FRA",4
"ARM","FRA",0
"CYP","FRA",0
"IRL","FRA",0
"NLD","FRA",0
"AUT","FRA",0
"DNK","FRA",0
"HUN","FRA",0
"CHE","FRA",2
"SRB","FRA",0
"FRA","DEU",10
"ITA","DEU",12
"BGR","DEU",4
"AUS","DEU",5
"PRT","DEU",7
"SWE","DEU",1
"BEL","DEU",6
"ISR","DEU",2
"GBR","DEU",0
"GRC","DEU",8
"DEU","DEU",0
"AZE","DEU",0
"ALB","DEU",0
"HRV","DEU",0
"UKR","DEU",0
"FIN","DEU",0
"ESP","DEU",0
"ARM","DEU",0
"CYP","DEU",0
"IRL","DEU",0
"NLD","DEU",0
"AUT","DEU",3
"DNK","DEU",0
"HUN","DEU",0
"CHE","DEU",0
"SRB","DEU",0
"FRA","ITA",12
"ITA","ITA",0
"BGR","ITA",10
"AUS","ITA",0
"PRT","ITA",2
"SWE","ITA",1
"BEL","ITA",6
"ISR","ITA",5
"GBR","ITA",0
"GRC","ITA",0
"DEU","ITA",3
"AZE","ITA",0
"ALB","ITA",7
"HRV","ITA",4
"UKR","ITA",0
"FIN","ITA",0
"ESP","ITA",0
"ARM","ITA",0
"CYP","ITA",0
"IRL","ITA",0
"NLD","ITA",0
"AUT","ITA",8
"DNK","ITA",0
"HUN","ITA",0
"CHE","ITA",0
"SRB","ITA",0
"FRA","ESP",8
"ITA","ESP",10
"BGR","ESP",6
"AUS","ESP",4
"PRT","ESP",12
"SWE","ESP",7
"BEL","ESP",5
"ISR","ESP",3
"GBR","ESP",0
"GRC","ESP",0
"DEU","ESP",2
"AZE","ESP",0
"ALB","ESP",0
"HRV","ESP",0
"UKR","ESP",0
"FIN","ESP",0
"ESP","ESP",0
"ARM","ESP",0
"CYP","ESP",0
"IRL","ESP",1
"NLD","ESP",0
"AUT","ESP",0
"DNK","ESP",0
"HUN","ESP",0
"CHE","ESP",0
"SRB","ESP",0
"FRA","UKR",10
"ITA","UKR",5
"BGR","UKR",0
"AUS","UKR",12
"PRT","UKR",0
"SWE","UKR",8
"BEL","UKR",7
"ISR","UKR",4
"GBR","UKR",3
"GRC","UKR",0
"DEU","UKR",0
"AZE","UKR",2
"ALB","UKR",0
"HRV","UKR",0
"UKR","UKR",0
"FIN","UKR",6
"ESP","UKR",0
"ARM","UKR",0
"CYP","UKR",0
"IRL","UKR",1
"NLD","UKR",0
"AUT","UKR",0
"DNK","UKR",0
"HUN","UKR",0
"CHE","UKR",0
"SRB","UKR",0
"FRA","GBR",8
"ITA","GBR",10
"BGR","GBR",2
"AUS","GBR",12
"PRT","GBR",5
"SWE","GBR",4
"BEL","GBR",3
"ISR","GBR",0
"GBR","GBR",0
"GRC","GBR",6
"DEU","GBR",0
"AZE","GBR",0
"ALB","GBR",0
"HRV","GBR",0
"UKR","GBR",0
"FIN","GBR",0
"ESP","GBR",0
"ARM","GBR",0
"CYP","GBR",1
"IRL","GBR",7
"NLD","GBR",0
"AUT","GBR",0
"DNK","GBR",0
"HUN","GBR",0
"CHE","GBR",0
"SRB","GBR",0
