"to","from","points"
"FRA","SVN",7
"ITA","SVN",12
"BGR","SVN",5
"BEL","SVN",6
"AUS","SVN",0
"PRT","SVN",8
"SWE","SVN",1
"AZE","SVN",0
"ISR","SVN",3
"DEU","SVN",0
"GRC","SVN",0
"GBR","SVN",0
"UKR","SVN",0
"ALB","SVN",0
"HRV","SVN",10
"ESP","SVN",0
"CYP","SVN",0
"RUS","SVN",0
"ARM","SVN",0
"AUT","SVN",2
"NLD","SVN",0
"FIN","SVN",4
"HUN","SVN",0
"IRL","SVN",0
"SRB","SVN",0
"CHE","SVN",0
"FRA","SWE",8
"ITA","SWE",7
"BGR","SWE",5
"BEL","SWE",10
"AUS","SWE",12
"PRT","SWE",6
"SWE","SWE",0
"AZE","SWE",0
"ISR","SWE",3
"DEU","SWE",2
"GRC","SWE",1
"GBR","SWE",0
"UKR","SWE",0
"ALB","SWE",0
"HRV","SWE",0
"ESP","SWE",0
"CYP","SWE",0
"RUS","SWE",0
"ARM","SWE",0
"AUT","SWE",0
"NLD","SWE",0
"FIN","SWE",4
"HUN","SWE",0
"IRL","SWE",0
"SRB","SWE",0
"CHE","SWE",0
"FRA","AUT",0
"ITA","AUT",8
"BGR","AUT",10
"BEL","AUT",2
"AUS","AUT",6
"PRT","AUT",5
"SWE","AUT",1
"AZE","AUT",0
"ISR","AUT",0
"DEU","AUT",12
"GRC","AUT",0
"GBR","AUT",0
"UKR","AUT",0
"ALB","AUT",0
"HRV","AUT",3
"ESP","AUT",0
"CYP","AUT",0
"RUS","AUT",0
"ARM","AUT",0
"AUT","AUT",0
"NLD","AUT",4
"FIN","AUT",0
"HUN","AUT",7
"IRL","AUT",0
"SRB","AUT",0
"CHE","AUT",0
"FRA","BLR",0
"ITA","BLR",4
"BGR","BLR",7
"BEL","BLR",6
"AUS","BLR",2
"PRT","BLR",1
"SWE","BLR",10
"AZE","BLR",8
"ISR","BLR",0
"DEU","BLR",0
"GRC","BLR",0
"GBR","BLR",0
"UKR","BLR",12
"ALB","BLR",0
"HRV","BLR",0
"ESP","BLR",0
"CYP","BLR",0
"RUS","BLR",0
"ARM","BLR",0
"AUT","BLR",0
"NLD","BLR",0
"FIN","BLR",5
"HUN","BLR",3
"IRL","BLR",0
"SRB","BLR",0
"CHE","BLR",0
"FRA","BGR",7
"ITA","BGR",1
"BGR","BGR",0
"BEL","BGR",8
"AUS","BGR",0
"PRT","BGR",5
"SWE","BGR",6
"AZE","BGR",10
"ISR","BGR",12
"DEU","BGR",0
"GRC","BGR",0
"GBR","BGR",2
"UKR","BGR",0
"ALB","BGR",0
"HRV","BGR",0
"ESP","BGR",0
"CYP","BGR",0
"RUS","BGR",4
"ARM","BGR",0
"AUT","BGR",0
"NLD","BGR",0
"FIN","BGR",0
"HUN","BGR",0
"IRL","BGR",3
"SRB","BGR",0
"CHE","BGR",0
"FRA","HRV",12
"ITA","HRV",8
"BGR","HRV",10
"BEL","HRV",3
"AUS","HRV",5
"PRT","HRV",6
"SWE","HRV",7
"AZE","HRV",4
"ISR","HRV",0
"DEU","HRV",0
"GRC","HRV",0
"GBR","HRV",0
"UKR","HRV",0
"ALB","HRV",0
"HRV","HRV",0
"ESP","HRV",0
"CYP","HRV",0
"RUS","HRV",0
"ARM","HRV",0
"AUT","HRV",0
"NLD","HRV",0
"FIN","HRV",0
"HUN","HRV",0
"IRL","HRV",0
"SRB","HRV",2
"CHE","HRV",1
"FRA","DNK",0
"ITA","DNK",5
"BGR","DNK",6
"BEL","DNK",4
"AUS","DNK",12
"PRT","DNK",7
"SWE","DNK",8
"AZE","DNK",0
"ISR","DNK",0
"DEU","DNK",3
"GRC","DNK",0
"GBR","DNK",2
